trial	prizeDoor	firstChoice	selectedWinner	revealedDoor	switchChoice	action	finalChoice	winner	outcome
171	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
172	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
173	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
174	2	2	TRUE	3	TRUE	switched	1	FALSE	lost
175	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
176	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
177	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
178	1	3	FALSE	2	FALSE	stayed	3	FALSE	lost
179	2	3	FALSE	1	TRUE	switched	2	TRUE	won
180	3	3	TRUE	2	FALSE	stayed	3	TRUE	won
181	3	3	TRUE	1	FALSE	stayed	3	TRUE	won
182	3	1	FALSE	2	FALSE	stayed	1	FALSE	lost
183	2	1	FALSE	3	TRUE	switched	2	TRUE	won
184	1	2	FALSE	3	TRUE	switched	1	TRUE	won
185	2	2	TRUE	1	TRUE	switched	3	FALSE	lost
186	1	2	FALSE	3	FALSE	stayed	2	FALSE	lost
187	3	3	TRUE	1	TRUE	switched	2	FALSE	lost
188	3	2	FALSE	1	TRUE	switched	3	TRUE	won
189	3	3	TRUE	2	TRUE	switched	1	FALSE	lost
190	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
191	3	1	FALSE	2	TRUE	switched	3	TRUE	won
192	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
193	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
194	1	2	FALSE	3	TRUE	switched	1	TRUE	won
195	1	1	TRUE	2	TRUE	switched	3	FALSE	lost
196	3	2	FALSE	1	FALSE	stayed	2	FALSE	lost
197	3	2	FALSE	1	TRUE	switched	3	TRUE	won
198	2	1	FALSE	3	FALSE	stayed	1	FALSE	lost
199	2	2	TRUE	3	FALSE	stayed	2	TRUE	won
200	2	3	FALSE	1	FALSE	stayed	3	FALSE	lost
